;[ 5.42333 43.52833];[ 6.3861 43.3831];[ 5.78333 43.96167];[ 5.41333 43.88   ]
2007-01-31;11.899999998509884;13.500000178813934;20.099999636411667;17.600000098347664
2007-02-28;41.19999957829714;46.59999927133322;64.09999965131283;58.40000046044588
2007-03-31;15.699999839067459;18.80000027269125;33.9000002220273;25.09999993443489
2007-04-30;35.70000033825636;39.800000086426735;48.600000128149986;55.299999468028545
2007-05-31;87.49999953061342;61.099999614059925;86.0000001937151;99.50000031292439
2007-06-30;18.800000101327896;21.399999916553497;59.800000354647636;54.700000405311584
2007-07-31;16.700000017881393;11.600000031292439;25.700000137090683;24.99999998509884
2007-08-31;14.700000129640102;10.400000162422657;29.800000309944153;24.800000183284283
2007-09-30;29.39999993145466;4.200000017881393;45.19999957084656;33.599999874830246
2007-10-31;20.29999988526106;6.600000023841858;21.299999974668026;18.500000029802322
2007-11-30;29.000000290572643;76.89999878406525;58.699999548494816;49.799999825656414
2007-12-31;22.599999502301216;32.600000485777855;22.699999660253525;27.399999924004078
2008-01-31;46.80000002682209;70.10000109672546;67.19999931752682;70.69999925047159
2008-02-29;28.000000044703484;21.700000040233135;27.500000298023224;24.399999991059303
2008-03-31;38.69999970495701;35.999999955296516;53.50000047683716;42.80000030994415
2008-04-30;102.19999949634075;41.89999940991402;77.19999994337559;93.29999966174364
2008-05-31;95.9000004529953;52.49999961256981;99.20000011473894;106.39999965578318
2008-06-30;22.200000010430813;24.900000274181366;45.800000071525574;41.19999993592501
2008-07-31;14.200000189244747;9.000000089406967;18.799999937415123;19.700000077486038
2008-08-31;18.400000125169754;12.200000070035458;18.200000129640102;32.299999967217445
2008-09-30;56.19999919086695;19.69999947398901;97.39999866485596;105.49999940395355
2008-10-31;123.30000019073486;88.6000017374754;137.9000001847744;155.100001424551
2008-11-30;95.00000106543303;82.00000064074993;147.50000026077032;138.49999993294477
2008-12-31;82.00000064074993;93.89999852329493;66.49999932944775;68.29999947547913
2009-01-31;46.600000485777855;49.10000038146973;38.39999986439943;36.00000001490116
2009-02-28;55.1000000834465;73.59999880939722;66.79999960958958;46.49999966472387
2009-03-31;53.70000063627958;55.80000030994415;74.90000103414059;52.200000159442425
2009-04-30;91.29999932646751;79.59999840706587;122.29999978095293;136.70000156015158
2009-05-31;40.000000573694706;53.50000008940697;71.40000011026859;62.999999552965164
2009-06-30;25.700000070035458;21.99999963492155;32.19999999552965;36.89999956637621
2009-07-31;15.099999770522118;14.600000023841858;18.20000023394823;21.00000000745058
2009-08-31;25.600000023841858;10.200000077486038;33.59999993443489;36.799999825656414
2009-09-30;109.60000152885914;139.80000016093254;115.79999795556068;131.49999971687794
2009-10-31;81.19999969005585;62.399999871850014;84.89999978244305;106.6999995931983
2009-11-30;66.99999963492155;31.900000050663948;80.50000065565109;85.69999942183495
2009-12-31;118.7999988719821;115.8000002130866;124.90000120550394;129.70000003278255
2010-01-31;75.10000083595514;50.89999967813492;37.100000627338886;45.40000034123659
2010-02-28;62.99999965727329;55.900000005960464;59.19999995827675;64.70000019669533
2010-03-31;51.900000013411045;33.90000005811453;71.00000086426735;61.400000371038914
2010-04-30;50.299999445676804;46.30000056326389;78.8000008314848;66.79999982565641
2010-05-31;86.49999886006117;72.69999956339598;96.59999934583902;100.20000068098307
2010-06-30;48.100001238286495;64.9000015258789;77.49999948590994;57.79999924451113
2010-07-31;19.40000008791685;14.200000010430813;25.8999999538064;30.100000254809856
2010-08-31;16.99999999254942;16.000000320374966;32.900000505149364;28.599999867379665
2010-09-30;43.39999982714653;28.499999940395355;48.50000011920929;46.599999845027924
2010-10-31;99.10000057518482;128.90000147372484;109.30000226944685;109.29999907314777
2010-11-30;122.80000133812428;108.00000260025263;107.99999839812517;106.49999977648258
2010-12-31;79.99999934434891;112.79999928176403;90.20000106096268;75.30000077933073
2011-01-31;44.50000035762787;39.60000018775463;60.399999894201756;58.00000036507845
2011-02-28;36.49999975413084;55.49999962747097;41.30000019073486;38.200000278651714
2011-03-31;74.30000026524067;82.20000025629997;96.5000000745058;101.80000027269125
2011-04-30;22.599999725818634;23.200000263750553;43.59999953210354;39.1999996304512
2011-05-31;30.199999697506428;23.70000024139881;47.89999986439943;39.800000213086605
2011-06-30;59.00000015646219;33.79999977350235;51.50000041723251;55.40000034123659
2011-07-31;15.100000143051147;16.50000014156103;35.4999999627471;18.099999949336052
2011-08-31;19.70000009983778;13.600000068545341;36.30000003427267;35.700000032782555
2011-09-30;32.400000251829624;21.29999990016222;35.80000041425228;47.10000014305115
2011-10-31;71.69999910145998;80.10000113397837;75.49999997019768;65.30000041425228
2011-11-30;171.40000082552433;219.69999928027391;171.3000015988946;165.29999946802855
2011-12-31;23.000000230968;26.89999957382679;39.89999973028898;27.899999976158142
2012-01-31;22.100000143051147;34.79999990016222;20.999999962747097;20.999999970197678
2012-02-29;6.200000070035458;12.200000189244747;13.599999882280827;10.000000044703484
2012-03-31;27.100000455975533;19.79999991506338;41.9000001847744;35.19999995082617
2012-04-30;82.09999860078096;80.60000015050173;98.09999960660934;70.10000002384186
2012-05-31;48.69999974220991;88.10000006854534;118.69999831169844;88.30000054091215
2012-06-30;31.30000027269125;26.400000229477882;55.90000084787607;47.7999996393919
2012-07-31;16.500000156462193;15.300000093877316;29.300000101327896;24.099999830126762
2012-08-31;13.900000184774399;12.800000064074993;26.500000178813934;32.000000171363354
2012-09-30;52.9000001847744;52.40000042319298;48.30000026524067;46.79999913275242
2012-10-31;112.9000001847744;152.2999993264675;108.10000132024288;101.10000107437372
