;[ 5.42333 43.52833];[ 6.3861 43.3831];[ 5.78333 43.96167];[ 5.41333 43.88   ]
2007-01-01;;;;
2007-01-02;0.10000000149011612;0.0;0.0;0.0
2007-01-03;0.0;0.30000001192092896;0.4000000059604645;0.20000000298023224
2007-01-04;0.4000000059604645;1.600000023841858;1.399999976158142;0.699999988079071
2007-01-05;0.10000000149011612;0.0;0.0;0.0
2007-01-06;0.0;0.0;0.0;0.0
2007-01-07;0.0;0.0;0.30000001192092896;0.6000000238418579
2007-01-08;0.30000001192092896;0.20000000298023224;1.399999976158142;1.0
2007-01-09;0.800000011920929;0.30000001192092896;1.5;2.0
2007-01-10;0.699999988079071;0.800000011920929;0.6000000238418579;0.4000000059604645
2007-01-11;1.0;1.5;0.10000000149011612;0.10000000149011612
2007-01-12;0.0;0.0;0.0;0.0
2007-01-13;0.0;0.0;0.0;0.0
2007-01-14;0.30000001192092896;0.10000000149011612;0.699999988079071;1.399999976158142
2007-01-15;0.10000000149011612;0.800000011920929;0.0;0.6000000238418579
2007-01-16;1.100000023841858;3.9000000953674316;1.7999999523162842;0.0
2007-01-17;0.0;0.10000000149011612;0.10000000149011612;0.699999988079071
2007-01-18;0.0;0.0;0.8999999761581421;0.10000000149011612
2007-01-19;1.7000000476837158;1.600000023841858;2.0999999046325684;2.9000000953674316
2007-01-20;0.699999988079071;0.0;0.20000000298023224;0.20000000298023224
2007-01-21;0.0;0.0;0.0;0.0
2007-01-22;1.5;0.4000000059604645;2.5999999046325684;2.0999999046325684
2007-01-23;3.0999999046325684;1.899999976158142;4.099999904632568;2.9000000953674316
2007-01-24;0.0;0.0;0.0;0.0
2007-01-25;0.0;0.0;0.0;0.0
2007-01-26;0.0;0.0;0.0;0.0
2007-01-27;0.0;0.0;0.5;0.5
2007-01-28;0.0;0.0;0.699999988079071;0.699999988079071
2007-01-29;0.0;0.0;0.4000000059604645;0.0
2007-01-30;0.0;0.0;0.0;0.0
2007-01-31;0.0;0.0;0.30000001192092896;0.5
2007-02-01;0.20000000298023224;0.10000000149011612;1.7000000476837158;0.800000011920929
2007-02-02;0.5;0.10000000149011612;1.0;1.0
2007-02-03;0.10000000149011612;0.0;0.0;0.0
2007-02-04;0.0;0.0;0.0;0.0
2007-02-05;0.0;0.0;0.0;0.30000001192092896
2007-02-06;0.0;0.0;0.0;1.0
2007-02-07;0.8999999761581421;0.0;0.5;2.0
2007-02-08;3.0999999046325684;0.10000000149011612;2.0;3.0999999046325684
2007-02-09;0.0;0.20000000298023224;2.9000000953674316;0.0
2007-02-10;2.0;0.10000000149011612;2.799999952316284;3.700000047683716
2007-02-11;0.20000000298023224;0.5;2.5;1.399999976158142
2007-02-12;1.399999976158142;2.299999952316284;4.199999809265137;2.700000047683716
2007-02-13;6.599999904632568;9.199999809265137;8.399999618530273;6.800000190734863
2007-02-14;10.0;14.399999618530273;12.300000190734863;10.100000381469727
2007-02-15;0.0;0.0;1.2000000476837158;1.7999999523162842
2007-02-16;0.0;0.0;0.20000000298023224;1.2999999523162842
2007-02-17;0.5;2.9000000953674316;2.4000000953674316;1.7000000476837158
2007-02-18;1.0;2.9000000953674316;1.100000023841858;2.4000000953674316
2007-02-19;0.0;0.0;0.0;0.4000000059604645
2007-02-20;0.0;3.0;0.4000000059604645;0.0
2007-02-21;0.0;6.699999809265137;2.799999952316284;0.800000011920929
